,책제목,artist,song_name,id,spotify_artist,O
0,두고 온 여름,권현정(소공녀OST),난 너만 있으면 되는데,4MzcQtRM0xlUhs5Y0Quy1R,Kwon Hyun Jung,O
1,두고 온 여름,Paniyolo,가족의 글자,20INz9muKVLRnJ24hBMB5D,피노키오,X
2,두고 온 여름,Paniyolo,소리마음,4QTQQj8PuI6hZ6MpVkIcG2,쏘피아노 SOPIANO,X
3,두고 온 여름,김윤아,퇴근버스,7xC5OpJjrH6EwauGbzaUty,Kim Young Bum,X
4,두고 온 여름,Hideyuki Hashimoto,hoho,48Jivh6jAj87eK6lj3FtUo,Hideyuki Hashimoto,O
5,두고 온 여름,Hideyuki Hashimoto,Setsu,1GKz0TpC7HktxQTirXpyZi,Hideyuki Hashimoto,O
6,두고 온 여름,김윤아,비내리는 상수역,6kG9OfCujcrkTEHAz0wGdl,김정호,X
7,두고 온 여름,이승호,나의 제단에 작은 초를 켭니다,3pSrGfEJBzwDAo5D7eQpO8,Han Woongjae,X
8,두고 온 여름,이승호,모든 시작을 위해,1mu2MNJTsRq0WphzqO1MhN,Lee Soo Young,X
9,두고 온 여름,GONTITI,28,3pGNUEIlaUlCU8mXxKInzw,Agust D,X
10,두고 온 여름,GONTITI,저녁 바다 위에 뜨는 달,7dxyNzfhhXpqIHttzNFxn5,Sung Si Kyung,X
11,두고 온 여름,주걸륜,First Kiss,0bj0hCTYXv02xeSHyRXuYT,Kid Rock,X
12,두고 온 여름,이윤지'],우리 식구,1XrfEfQj3x4XfIM1nxMJJW,이정현,X
13,백일의 밤 백편의 시,Jon Belle,If You Could See Me Now,53BeSVY0mpmucCIr0pDkPp,Jon Belle,O
14,백일의 밤 백편의 시,김지수,Somewhere,0ll8uFnc0nANY35E0Lfxvg,Keane,X
15,백일의 밤 백편의 시,Sunday Night Piano Club,Have Yourself a Merry Little Christmas,2FPfeYlrbSBR8PwCU0zaqq,Frank Sinatra,X
16,백일의 밤 백편의 시,Thomas Ades,Arabesque (Debussy),6JU2EiLrNcmPuzRYC89x5N,Thomas Ades,O
17,백일의 밤 백편의 시,이진욱,Wish (Guitar & Piano Version),1XrfEfQj3x4XfIM1nxMJJW,이정현,X
