,책제목,artist,song_name,id,spotify_artist
0,두고 온 여름,권현정(소공녀OST),난 너만 있으면 되는데,4MzcQtRM0xlUhs5Y0Quy1R,Kwon Hyun Jung
1,두고 온 여름,Hideyuki Hashimoto,hoho,0y7I045qDUH1carkgTB2UG,Hideyuki Hashimoto
2,두고 온 여름,Hideyuki Hashimoto,Setsu,0y7I045qDUH1carkgTB2UG,Hideyuki Hashimoto
3,백일의 밤 백편의 시,Jon Belle,If You Could See Me Now,2E7OvE073ENQi8KzwTKPcz,Jon Belle
4,백일의 밤 백편의 시,Thomas Ades,Arabesque (Debussy),6JU2EiLrNcmPuzRYC89x5N,Thomas Adès
5,백일의 밤 백편의 시,Thomas Ades,Colette,3SAhuaew7Hqkf7UdFGUg57,Thomas Adès
6,백일의 밤 백편의 시,Jim Chappell,Innocense,4rlQza35DE4Prh5yonxnCs,Chappell Roan
7,백일의 밤 백편의 시,Iwamura Ryuta,February 20 / C-bur,3kcP9N8f39kA20yeDzChYl,Iwamura Ryuta
8,백일의 밤 백편의 시,Nanatsutani Yumi,molecule,3SvVNrAkX1u57uS6BXhiKe,LXNGVX
9,백일의 밤 백편의 시,Iwamura Ryuta,October 7 / His-dur,2ImPlIfC6RygVYKSANhxgf,Iwamura Ryuta
10,백일의 밤 백편의 시,Michael Giacchino,Stuff We Did,7iZnEeSfrwAlAESBw62SL8,Michael Giacchino
11,어른을 위한 인생 수업  류쉬안,전진희,night in february,7BsB19lhDNnk1MgULMyv5p,Jeon Jin Hee
12,어른을 위한 인생 수업  류쉬안,Hideyuki Hashimoto,izumi - improvisation - tree /,6l0tjnyRxdVdEBqLK5OIE1,Hideyuki Hashimoto
13, 쓸데없는 짓이 어디 있나요,Ryuichi Sakamoto,leta,4hMWShv7tRCNuekpPFiHgH,Ryuichi Sakamoto
14, 쓸데없는 짓이 어디 있나요,전진희,Breathing in April,4hryahlO8NpCmOpQv2Ng4C,Jeon Jin Hee
15, 쓸데없는 짓이 어디 있나요,윤한,바람의 왈츠,6sr6Wh8Wje5b0wOhbr81Jm,Lee Young Hyun
16, 쓸데없는 짓이 어디 있나요,Hideyuki Hashimoto,ki,0y7I045qDUH1carkgTB2UG,Hideyuki Hashimoto
17, 쓸데없는 짓이 어디 있나요,Hideyuki Hashimoto,Izumi - improvisation - tree,0y7I045qDUH1carkgTB2UG,Hideyuki Hashimoto
18, 쓸데없는 짓이 어디 있나요,Ryuichi Sakamoto,Parolibre,66hacKPqwClRgpSmWDWhBx,Ryuichi Sakamoto
19, 쓸데없는 짓이 어디 있나요,Hideyuki Hashimoto,Odoriko,0y7I045qDUH1carkgTB2UG,Hideyuki Hashimoto
20,스키터,오준성,In Memories,5TptH8AKtJHRx21Wa4AX2k,Oh Joon Sung
21,스키터,유민호,까멜리아,7kpe2K0hdSssLj4G4YjxdU,slchld
22,스키터,홍진호,Moonlight (Cello Ver.),2L7P1ukm8GXHTBeHSM0st1,Hong Jin Ho
23,스키터,전진희,breathing in October(2021),5yNtqQzL2eAr5pb1cRDUhe,Jeon Jin Hee
24,잊었던 용기,Yutaka Hirasaka,amaretto,5Oje3rq0K9GSyvlWlOmjoG,yutaka hirasaka
25,잊었던 용기,RADWIMPS,Theme of mitsuha,66HNv8qd9jr7q5P9nNTOOZ,RADWIMPS
26,잊었던 용기,Raujika,Pastoral,19vWDttuR4ZVBzUfQFsfPS,Christian Löffler
27,잊었던 용기,Zmi,Tamayura,6D1oM53Za4jzNEJ1NAcmfZ,Zmi
28,잊었던 용기,Hideyuki Hashimoto,asa,0y7I045qDUH1carkgTB2UG,Hideyuki Hashimoto
29,잊었던 용기,Hideyuki Hashimoto,improvisation - prelude,0y7I045qDUH1carkgTB2UG,Hideyuki Hashimoto
30,다른 삶,Tobias Wilden,About Isolation / Ripples,6LErbV3VAz8s3utAunAuvU,Blissful Radiance
31,다른 삶,이루마,Passing By,0PlD5j3EX8hZjNfH52YSpF,Yiruma
32,다른 삶,Joep Beving,Reflection #2,3PEUNWxaEJwHRK9Q2Jx9Eg,Joep Beving
33,다른 삶,Olafur Arnalds,Only The Winds,5i4FBbWB1J2c6RqZ4msUJ7,Ólafur Arnalds
34,다른 삶,Joep Beving,Into the Dark Blue,1ZC21hJb2GASRkaoZvUcCS,Joep Beving
35,다른 삶,Thomas Newman,Brooks Was Here(쇼생크 탈출 ost)',44sVQfPdCTGM5JLBRHUngc,Thomas Newman
36,당연한 하루는 없다,Thomas Ades,Colette,3SAhuaew7Hqkf7UdFGUg57,Thomas Adès
37,당연한 하루는 없다,김윤아,언젠가는,3EpqTpSWhkQDv5gTZddp1W,Naul
38,당연한 하루는 없다,오준성,In Memories,5TptH8AKtJHRx21Wa4AX2k,Oh Joon Sung
39,엉망인 채 완전한 축제,Dustin O'Halloran,01 opus 20,7927IbXHiYrlZkAikPsi3X,Dustin O'Halloran
40,엉망인 채 완전한 축제,Chris Zabriskie,The Temperature of the Air on the Bow of the Kaleetan,0b5L2ZbuLQJr9dDt3hkqFj,Chris Zabriskie
41,엉망인 채 완전한 축제,Nils Frahm,Familiar,5Yy0R2CLFPXfrBPLnsI1zN,Nils Frahm
42,엉망인 채 완전한 축제,Eydis Evensen,Stormasamt Kvold,3gcHqbVBwjlLrrD7OnAD4X,Farius
43,엉망인 채 완전한 축제,Eydis Evensen,Brotin,1ByjUtjfHISyPBH1m4uhvT,Eydís Evensen
44,엉망인 채 완전한 축제,Olafur Arnalds,re:member,6wUU6ff7O1jlE4NOrv01gI,Ólafur Arnalds
45,엉망인 채 완전한 축제,Ola Gjeilo,"Gjeilo: Before Dawn""",5YZHOENY8KssNQObXoMPy3,Ola Gjeilo
46,작은 별이지만 빛나고 있어,Megan Wofford,Uprise,2Ys6Pl9WewP7ubO6kpevWI,Megan Wofford
47,작은 별이지만 빛나고 있어,Akira Kosemura,Luna,4J4K9tVp3A0VLux2S92Lzc,Akira Kosemura
48,작은 별이지만 빛나고 있어,Sakamoto Ryuichi,Shining Boy & Little Randy / Hoshininatta Shounen,6tBuLo6bYjq1abJJ53n7KF,Ryuichi Sakamoto
49,작은 별이지만 빛나고 있어,이루마,River Flows In You,2agBDIr9MYDUducQPC1sFU,Yiruma
50,작은 별이지만 빛나고 있어,Alfie-Jay Winters,Everyone Rainfalls,7zBrYIKRKF2K5Fjhsp8xKz,Alfie-Jay Winters
51,작은 별이지만 빛나고 있어,로맨틱브리즈,바다가 보이는 언덕,2WSfAVIn6DVPecE4UO10m6,로맨틱브리즈
52,작은 별이지만 빛나고 있어,Goetz Oestlind,Anthriel : Genesis,7mO7mXYnJTUONDkqEWVFcE,The Wonder Kids
53,작은 별이지만 빛나고 있어,:49 Little Fish,위로가 필요한 밤에,24wFk7pRdGx74fAgpps4fR,Fisher-Price
54,작은 별이지만 빛나고 있어,:15 이루마,Letter (Winter Version),417XrKkdVRB75MosNRPmVh,Yiruma
55,작은 별이지만 빛나고 있어,:09 Winter Aid,The Wisp Sings'],7nDXmx3FuyeX7FI7PFl2iX,Winter Aid
56,달러구트 꿈 백화점,Alexandre Desplat,Little Women,4xui9WfNYFy7DKZfFBzSQA,Alexandre Desplat
57,달러구트 꿈 백화점,RADWIMPS,Date,7A7lxMWZI2Uow7WqWjWGcM,RADWIMPS
58,달러구트 꿈 백화점,Rob Simonsen,Main Title,6Nm8h73ycDG2saCnZV8poF,Rob Zombie
59,달러구트 꿈 백화점,Ola Gjeilo,Santa Monica,37EJtTS7jT5WUyXGZzrwnI,Everclear
60,달러구트 꿈 백화점,:16 이루마,Maybe christmas'],4JYewrsUG5zpV0gTQ2DqJp,Donata Antoni
61,어린 왕자,Matija Strnisa,Butterflies,38nSpCQCOiuwXOfVy07bGj,Johnny Stimson
