,책제목,artist,song_name,id,spotify_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
0,두고 온 여름,권현정(소공녀OST),난 너만 있으면 되는데,4MzcQtRM0xlUhs5Y0Quy1R,Kwon Hyun Jung,0.525,0.00413,5.0,-26.576,1.0,0.119,0.995,0.916,0.077,0.196,66.221,"['empty', 'sadness', 'worry', 'boredom']"
1,두고 온 여름,Hideyuki Hashimoto,hoho,48Jivh6jAj87eK6lj3FtUo,Hideyuki Hashimoto,0.445,0.0367,1.0,-31.319,1.0,0.0433,0.991,0.944,0.0896,0.13,75.396,"['empty', 'sadness', 'worry', 'boredom']"
2,두고 온 여름,Hideyuki Hashimoto,Setsu,1GKz0TpC7HktxQTirXpyZi,Hideyuki Hashimoto,0.493,0.0496,0.0,-26.935,1.0,0.0469,0.989,0.908,0.118,0.212,57.756,"['empty', 'sadness', 'worry', 'boredom']"
3,백일의 밤 백편의 시,Jon Belle,If You Could See Me Now,53BeSVY0mpmucCIr0pDkPp,Jon Belle,0.514,0.0569,0.0,-30.029,0.0,0.0352,0.993,0.925,0.102,0.09,122.109,"['sadness', 'love', 'happiness', 'relief']"
4,백일의 밤 백편의 시,Thomas Ades,Arabesque (Debussy),6JU2EiLrNcmPuzRYC89x5N,Thomas Ades,0.241,0.0565,6.0,-23.98,0.0,0.0408,0.992,0.882,0.0984,0.104,67.128,"['sadness', 'love', 'happiness', 'relief']"
5,백일의 밤 백편의 시,Thomas Ades,Colette,7IyjWrw7SQHeGlPObJdqPQ,Thomas Ades,0.262,0.203,5.0,-15.309,1.0,0.0334,0.95,0.665,0.161,0.166,62.382,"['sadness', 'love', 'happiness', 'relief']"
6,백일의 밤 백편의 시,Jim Chappell,Innocense,6aCCOwUQgAiI0xO9fBh1x2,Jim Chappell,0.363,0.262,3.0,-15.583,1.0,0.0599,0.955,0.938,0.107,0.0713,118.175,"['sadness', 'love', 'happiness', 'relief']"
7,백일의 밤 백편의 시,Iwamura Ryuta,February 20 / C-bur,2ImPlIfC6RygVYKSANhxgf,Iwamura Ryuta,0.397,0.171,5.0,-21.528,0.0,0.045,0.98,0.92,0.112,0.278,90.539,"['sadness', 'love', 'happiness', 'relief']"
8,백일의 밤 백편의 시,Nanatsutani Yumi,molecule,2nQwp2DxltSKXjy5jEp79m,Yumi,0.794,0.805,1.0,-4.004,1.0,0.251,0.00175,0.0,0.0372,0.937,153.005,"['sadness', 'love', 'happiness', 'relief']"
9,백일의 밤 백편의 시,Iwamura Ryuta,October 7 / His-dur,2ImPlIfC6RygVYKSANhxgf,Iwamura Ryuta,0.397,0.171,5.0,-21.528,0.0,0.045,0.98,0.92,0.112,0.278,90.539,"['sadness', 'love', 'happiness', 'relief']"
10,백일의 밤 백편의 시,Michael Giacchino,Stuff We Did,19blFYzqmPj7FtW7W4DFEl,Michael Giacchino,0.256,0.00484,7.0,-34.386,1.0,0.0427,0.924,0.0408,0.0634,0.0373,57.412,"['sadness', 'love', 'happiness', 'relief']"
11,어른을 위한 인생 수업  류쉬안,전진희,night in february,7BsB19lhDNnk1MgULMyv5p,Jeon Jin Hee,0.654,0.258,8.0,-9.468,1.0,0.0295,0.904,0.382,0.108,0.162,128.091,['happiness']
12,어른을 위한 인생 수업  류쉬안,Hideyuki Hashimoto,izumi - improvisation - tree /,6l0tjnyRxdVdEBqLK5OIE1,Hideyuki Hashimoto,0.422,0.0263,7.0,-28.006,1.0,0.0526,0.994,0.953,0.132,0.1,65.372,['happiness']
