,id,url,Artist,PC1,PC2,PC3,clust
4,57u1FaZlztApkcT5x5XNuD,https://open.spotify.com/track/57u1FaZlztApkcT5x5XNuD,Fujii Kaze,-0.418029848,-0.127572384,-0.364483685,1
25,6O11gHhPCFNEFkEZYf3ilw,https://open.spotify.com/track/6O11gHhPCFNEFkEZYf3ilw,Ava Max,-0.398996816,-0.234676445,-0.368502475,1
28,7DnAm9FOTWE3cUvso43HhI,https://open.spotify.com/track/7DnAm9FOTWE3cUvso43HhI,Ava Max,-0.376509699,-0.326211348,-0.371708153,1
35,7lidXGPXPYLNThITAOTlkK,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,Halsey,-0.414925523,-0.073546437,-0.261790686,1
42,6ZmwwHYtun94UOdFWWgdif,https://open.spotify.com/track/6ZmwwHYtun94UOdFWWgdif,Halsey,-0.382003985,-0.361605315,-0.480308255,1
44,1ZoQVu9XBssJBdeKMgF2eV,https://open.spotify.com/track/1ZoQVu9XBssJBdeKMgF2eV,Halsey,-0.429729231,-0.13826129,-0.458510785,1
60,5GWdbUP56UBrpkkWpitLTG,https://open.spotify.com/track/5GWdbUP56UBrpkkWpitLTG,Glass Animals,-0.49352436,0.153364375,-0.426206616,1
69,4CYTQpr2jc4uBScYvpEK2w,https://open.spotify.com/track/4CYTQpr2jc4uBScYvpEK2w,Playboi Carti,-0.367233579,-0.293490051,-0.384269088,1
70,0cgD36xPIJBdKUNJRHYDgP,https://open.spotify.com/track/0cgD36xPIJBdKUNJRHYDgP,Playboi Carti,-0.381961498,-0.245587248,-0.377308181,1
71,7zLMYtNJcabv4h4wBnjNQI,https://open.spotify.com/track/7zLMYtNJcabv4h4wBnjNQI,Playboi Carti,-0.437425825,-0.077330203,-0.462140096,1
73,6i6whmV36EJmxs5zFahMrb,https://open.spotify.com/track/6i6whmV36EJmxs5zFahMrb,Playboi Carti,-0.382632054,-0.351996169,-0.480380541,1
75,5uYqmEN6TAAE8ss8YmprNV,https://open.spotify.com/track/5uYqmEN6TAAE8ss8YmprNV,Playboi Carti,-0.426307619,-0.12806517,-0.378105338,1
76,15JRvf02KKGHKgC31jrpuh,https://open.spotify.com/track/15JRvf02KKGHKgC31jrpuh,Playboi Carti,-0.377012715,-0.262244672,-0.374325228,1
81,3dl8bSF08LQfCf4T6CCksf,https://open.spotify.com/track/3dl8bSF08LQfCf4T6CCksf,Playboi Carti,-0.452749526,-0.032731496,-0.458710852,1
83,1Bg2CNZw6S4e9cGWPmi0uI,https://open.spotify.com/track/1Bg2CNZw6S4e9cGWPmi0uI,Playboi Carti,-0.401384507,-0.153708675,-0.391681544,1
84,29TPjc8wxfz4XMn21O7VsZ,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,-0.361158069,-0.292811116,-0.274268266,1
