,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358
1,5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
2,0oaY19dUwZimIgzn3ZZLZO,0.583,0.444,9,-8.601,1,0.0456,0.593,0.0,0.353,0.167,119.59
3,5NU40QTlXrDUJzDBdv79bg,0.677,0.633,7,-7.831,1,0.0771,0.0314,0.0,0.112,0.409,89.934
4,6F2r4HgpJnvKDmkN6JEN6J,0.595,0.543,11,-8.149,1,0.038,0.127,0.0,0.0975,0.109,99.928
5,3T03rPwlL8NVk1yIaxeD8U,0.509,0.228,4,-8.68,1,0.0332,0.92,0.0,0.104,0.586,90.674
6,6Xgq7MvZiet0hVi3KaDSgJ,0.67,0.693,6,-8.34,1,0.35,0.2,0.0,0.0909,0.388,87.017
7,137mSruegm1u6x9NvwiagR,0.495,0.333,4,-10.109,0,0.0288,0.737,0.0,0.112,0.37,99.757
8,680qLWCMRfR6evrNNBCE9e,0.649,0.429,10,-8.428,0,0.468,0.386,0.0,0.311,0.426,100.389
9,7aely3H8kMj9o0gt6vXHE1,0.728,0.629,1,-6.629,1,0.0318,0.00196,1.94e-06,0.0847,0.71,135.031
10,1nahzW3kfMuwReTka28tH5,0.658,0.634,1,-6.068,0,0.0431,0.0104,0.0,0.12,0.302,140.002
11,3buwFfY33H32wfZ6X9poV3,0.551,0.756,2,-7.679,1,0.045,0.000284,9.48e-05,0.118,0.359,75.991
12,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96
13,4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03
14,27UcQ6dAvQrgH9C880rCM3,0.759,0.584,8,-6.655,1,0.06,0.0652,1.59e-06,0.16,0.374,127.138
15,2tB9OFgAHjAds3cqquLlvp,0.79,0.724,1,-6.972,1,0.0852,0.0696,2.33e-06,0.113,0.642,101.04
16,2WnAKZefdRHxtBEkRjFOHC,0.685,0.521,2,-8.285,1,0.0345,0.185,3.59e-06,0.111,0.578,115.885
17,3S8jK1mGzQi24ilFb45DAZ,0.619,0.241,11,-7.102,0,0.046,0.9,0.0,0.116,0.0719,79.461
18,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981
19,2KZ3sNqPogEyMUUH6A5HFy,0.804,0.652,8,-6.282,1,0.0898,0.0267,0.000782,0.118,0.854,150.076
20,45OX2jjEw1l7lOFJfDP9fv,0.826,0.553,1,-10.121,0,0.234,0.163,4.12e-05,0.135,0.4,140.037
21,0sTlGEld0h8kIPZaKDYUf4,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488
22,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
23,2ksyzVfU0WJoBpu8otr4pz,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014
24,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999
25,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607
26,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
27,4wcBRRpIfesgcyUtis7PEg,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884
28,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917
29,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928
30,2TOzTqQXNmR2zDJXihjZ2e,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485
31,2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924
32,0MMyJUC3WNnFS1lit5pTjk,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929
33,5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929
34,1zejeOnykpCoyVSit6Bwp3,0.443,0.298,0,-12.181,1,0.0644,0.388,1e-05,0.103,0.172,77.253
35,186NCtNk1tUYS7c2DxgJ7O,0.437,0.384,5,-8.384,1,0.042,0.699,2.33e-05,0.121,0.181,139.009
36,37rnSr2ZCkzqmoUqGQtn4q,0.549,0.194,5,-15.426,1,0.0421,0.721,0.929,0.105,0.0392,140.07
37,7EkWXAI1wn8Ii883ecd9xr,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626
38,3CeCwYWvdfXbZLXFhBrbnf,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082
39,2JiHR4gCDjXwYVRDmwdk95,0.631,0.825,11,-3.971,1,0.0433,0.0167,0.0,0.122,0.427,129.942
40,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02
41,5QYnNhTKsN3kE7OaqILA1U,0.587,0.267,8,-9.206,1,0.0349,0.84,0.0,0.121,0.352,98.845
42,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
43,4btFHqumCO31GksfuBLLv3,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908
44,3NuLxTXowTRcguTh9RsPmM,0.567,0.211,0,-9.975,1,0.0315,0.952,5.24e-05,0.275,0.289,134.019
45,0YbI9lWxUBsCJLb6EBydkr,0.578,0.558,2,-5.438,1,0.0872,0.236,0.0,0.143,0.54,75.087
46,5sv0WnUs74Orn6GoPmC5im,0.672,0.73,5,-4.77,1,0.0372,0.113,0.0,0.0612,0.559,123.969
47,2SUxn2O9NHL6GHGQFgwCY0,0.763,0.661,4,-5.592,0,0.056,0.169,0.0,0.117,0.632,95.002
48,0VuDtcT7H4CAljLZEH021x,0.686,0.765,8,-4.778,1,0.118,0.0122,0.0,0.127,0.743,99.998
49,1i4F583d9v9RabcfOlKKVL,0.485,0.54,1,-5.4,1,0.0253,0.668,0.0,0.0849,0.426,62.631
50,0rt63HYAAIzUZo5O2D0uA6,0.471,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609
51,2Ldb2ytuC9AxhpAkVEJBI6,0.822,0.3,0,-8.034,1,0.0673,0.882,9.15e-05,0.0665,0.734,125.951
52,3BiiSLo0wyHAY7lpCEO6ge,0.501,0.684,11,-6.706,1,0.0566,0.00494,0.000478,0.0524,0.442,131.952
53,63dMNGUUu7rXX0NZYVO3Tm,0.575,0.941,7,-7.908,1,0.0581,0.0872,0.736,0.146,0.0387,127.967
54,0zqBZqm5czQ3A4EoSdKFHj,0.668,0.816,4,-5.648,0,0.0367,0.0557,1.02e-06,0.197,0.5,129.971
55,28VbwtsYnj85UEODGpQRem,0.673,0.659,3,-4.493,0,0.0439,0.539,0.0,0.129,0.628,88.011
56,2sVcG5mresyV79qpYr3M1C,0.779,0.58,0,-6.168,0,0.0355,0.158,0.0,0.124,0.679,148.916
57,1ez5ood0PsYP4Yi6KhYe7H,0.677,0.723,4,-5.474,0,0.107,0.318,0.0,0.232,0.366,150.11
58,3gktHyhUYSZmJAewFjxcoX,0.389,0.629,9,-10.449,0,0.0356,0.127,0.944,0.128,0.0985,59.925
59,6k1Q8mNcA2jFH0uv5B6g9G,0.542,0.561,5,-7.029,0,0.0485,0.437,0.0704,0.135,0.183,175.998
60,1Ph65gYzHdiNDs9yWh4ePY,0.427,0.541,0,-5.726,1,0.0362,0.21,0.0,0.442,0.257,149.802
61,3BomnHfqKZCdPJC9bkGBjE,0.522,0.697,1,-5.288,0,0.103,0.0291,0.0,0.319,0.235,169.775
62,5I9Qa1LfGcQGCIC32lh9Ka,0.48,0.692,11,-5.324,0,0.0582,0.176,0.00011,0.221,0.465,85.343
63,0VE9LJ2W1qhjNBfWQLuA5M,0.426,0.879,6,-5.687,0,0.0422,0.00219,0.308,0.139,0.058,128.894
64,6GZaY8DSHOgllwQ28ok7Rs,0.73,0.772,10,-4.514,1,0.0348,0.0276,0.0,0.0707,0.0951,107.996
65,1fohm4EDuPauFyFIKmTIUm,0.522,0.551,8,-6.458,1,0.0309,0.0611,0.0,0.0958,0.186,90.006
66,1qFmSPALGSoqjbwM3br4Rl,0.523,0.698,10,-8.377,1,0.0777,0.0523,0.795,0.0794,0.0348,120.015
67,5BKJAuVMDyrFvUTo4dIaiK,0.573,0.264,5,-8.955,1,0.0365,0.827,1.71e-05,0.103,0.379,129.791
68,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
69,3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966
70,4OwhwvKESFtuu06dTgct7i,0.75,0.522,9,-7.018,1,0.0293,0.282,0.0,0.0743,0.601,110.427
71,1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781
72,3grVoZ10bm2jUGpo7BxpuF,0.685,0.717,0,-6.456,0,0.0411,0.101,1.87e-05,0.266,0.549,127.963
73,5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087
74,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981
75,1BMu5TWvalAGpi5jlhFEBb,0.519,0.464,10,-18.957,0,0.56,0.905,0.0,0.448,0.287,109.744
76,6bpq1jGkVz66Q3LYeoXdjZ,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975
77,3JR2RztQcOjUQGQSybxDIO,0.708,0.598,3,-4.969,0,0.0617,0.202,0.0,0.183,0.561,144.09
78,6th8IdY4lYeM0QlSQJhhkp,0.768,0.764,0,-5.82,1,0.0295,0.0963,1.03e-05,0.114,0.472,92.965
79,7zQirOExB0VR8yWUOqYeio,0.923,0.533,11,-6.016,0,0.262,0.0504,0.0,0.102,0.587,133.991
80,5S4PZ7AuYlYiVIVik3wHUf,0.742,0.734,8,-5.582,0,0.0407,0.629,0.00314,0.0834,0.541,114.952
81,6btdl1Vl6Ta5lUwUSOFW2H,0.549,0.643,9,-6.808,1,0.0543,0.0792,1.21e-05,0.107,0.123,174.041
82,3e6ebtUCZ0tZL1J7wvM8Xi,0.609,0.438,6,-8.486,0,0.0311,0.626,0.00011,0.103,0.176,139.875
83,4vsJWPwWPS27gRM4oLjBNO,0.549,0.7,4,-6.07,0,0.0392,0.12,0.0,0.133,0.212,82.604
84,6D3t4w54PgLNGQ48R7th7R,0.392,0.579,0,-5.284,0,0.0354,0.0141,4.87e-05,0.101,0.253,143.664
85,6isTQfKXhNO3EyJd9mSxx8,0.629,0.445,3,-6.999,1,0.0258,0.77,2.92e-06,0.351,0.209,94.103
86,2JPLbjOn0wPCngEot2STUS,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951
87,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998
88,0CsR9Y9SnC6ZWmekmVqSHz,0.733,0.862,7,-5.736,1,0.197,0.374,0.00247,0.131,0.536,111.076
89,2HolBGR6tpiWI80MXoV1dJ,0.619,0.707,1,-5.791,1,0.0499,0.0366,7.54e-05,0.13,0.558,168.995
90,0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942
91,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041
92,0FFsgUoFibYISzMxuGS61W,0.683,0.615,5,-5.737,1,0.0966,0.222,8.25e-06,0.154,0.45,77.014
93,6Q9IUoBTNLHgBib1FSFGbj,0.734,0.45,6,-7.075,1,0.0824,0.597,7.33e-06,0.0964,0.529,135.067
94,0k4d5YPDr1r7FX77VdqWez,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986
95,7y3xU9vEC1s8DSuuoSYKih,0.678,0.531,10,-5.029,1,0.0374,0.126,3.44e-05,0.377,0.176,99.008
96,1ayV64ur8VWgc6OPtPRl1q,0.842,0.522,7,-7.844,1,0.0985,0.293,6.91e-05,0.107,0.285,132.986
97,5lAnYvAIkSDNXqfo7DyFUm,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097
98,5CC5krEgwJXuoA0F9scOFg,0.82,0.656,8,-5.537,0,0.0399,0.209,0.0339,0.124,0.698,143.059
99,45Nc6nYgV3yBvAeRaZt689,0.691,0.656,8,-5.864,0,0.172,0.543,1.22e-05,0.095,0.746,169.973
100,3DarAbFujv6eYNliUTyqtz,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97
101,5zFglKYiknIxks8geR8rcL,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048
102,6tHQAadcluhVV4oD2IvHSk,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989
103,54WpJSyO81dpA40MKJHd0C,0.759,0.67,1,-5.309,1,0.0509,0.0204,0.0,0.0953,0.741,136.027
104,4lejz024CsCP6S5kPD6Upb,0.675,0.699,0,-5.894,1,0.0296,0.00248,0.000604,0.114,0.43,123.042
105,03blI4F6MeYd6kJx26VsJ2,0.753,0.633,6,-7.263,0,0.0594,0.14,0.0,0.392,0.714,132.031
106,1G5rzVAFlgMqG4gaRujcaA,0.638,0.504,8,-8.335,1,0.0578,0.509,2.18e-05,0.103,0.281,140.204
107,6PyFYTEo8X3inQ4hQvA8md,0.81,0.642,10,-5.801,1,0.0712,0.106,0.0,0.0805,0.596,105.968
108,7DVassGvnqQRSfVSVPxtpV,0.378,0.677,5,-6.998,0,0.0475,0.079,9.38e-05,0.102,0.481,199.656
109,2ST72jD2KVe7f3fbcGyX1b,0.485,0.567,1,-6.456,1,0.0388,0.316,0.0,0.0949,0.157,93.676
110,5kS3Kw2elRTrodnsyQuhvI,0.727,0.53,8,-7.296,1,0.0703,0.159,0.0,0.105,0.43,139.996
111,4cktbXiXOapiLBMprHFErI,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05
112,3p4WMekidOIiyf8SFvfrIC,0.807,0.396,11,-7.415,1,0.0545,0.855,0.0,0.0805,0.7,91.159
113,6FDKYM0lBf6zqrg8cFokPd,0.717,0.657,10,-6.355,1,0.0714,0.129,0.0,0.397,0.589,100.924
114,4rEe3htSUbJbO8kJePhHBx,0.749,0.675,10,-5.128,0,0.0366,0.0219,0.0,0.17,0.708,123.055
115,4qu63nuBpdn0qHUHuObEj1,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976
116,776AftMmFFAWUIEAb3lHhw,0.625,0.939,4,-3.115,0,0.0669,0.00138,0.0,0.424,0.644,102.999
117,7HMz8o0m7ASQ3ImFPfhWTY,0.363,0.678,2,-4.939,0,0.0995,0.0299,0.0,0.324,0.321,162.124
118,1ITV1k9laGrWUpagayejMQ,0.474,0.95,7,-2.762,1,0.0898,0.00646,0.000397,0.177,0.67,176.491
119,4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507
120,2uKWInHih8UkVBwgH6zuUm,0.469,0.941,7,-3.527,1,0.138,0.00298,0.000158,0.325,0.829,101.303
121,3ZeyEvTgSlKajHc0fckgZT,0.602,0.898,2,-3.789,0,0.0364,4.39e-05,0.000109,0.356,0.566,111.036
122,2l7V3AuTxGuswKjGovaSEv,0.376,0.846,7,-4.126,1,0.0464,0.00537,8e-06,0.186,0.408,96.176
123,6Vfo6O3hk38vDcSpazNo3p,0.635,0.641,4,-3.674,0,0.0329,0.18,0.0,0.0959,0.218,122.83
124,4HOryCnbme0zBnF8LWij3f,0.599,0.128,10,-17.261,1,0.109,0.974,0.121,0.115,0.367,159.679
125,7bcy34fBT2ap1L4bfPsl9q,0.849,0.48,9,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021
126,2KnuaZYoGzDoHiBTNYOTXG,0.895,0.389,7,-11.036,0,0.11,0.222,0.0346,0.105,0.549,110.023
127,3YUMWmx8EJq0DurfuIwoGh,0.456,0.285,8,-10.755,1,0.0979,0.814,0.143,0.307,0.0809,104.89
128,4t2OeILB07eMGTXSUbMPEu,0.757,0.598,11,-7.777,1,0.058,0.0904,0.551,0.15,0.18,124.951
