,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,5Avril3IZ26DPVFHbJX8o6,https://open.spotify.com/track/5Avril3IZ26DPVFHbJX8o6,Jung Kook,0.776,0.831,11.0,-3.975,1.0,0.0457,0.316,0.0,0.0688,0.891,124.986
1,7x9aauaA9cu6tyfpHnqDLo,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,Jung Kook,0.802,0.832,11.0,-4.107,1.0,0.0434,0.311,0.0,0.0815,0.89,124.997
2,2D9mO7arRSeHAEHNVAacaA,https://open.spotify.com/track/2D9mO7arRSeHAEHNVAacaA,Jung Kook,0.846,0.9,8.0,-6.179,0.0,0.0857,0.0479,0.839,0.0651,0.565,125.041
3,5mg3VB3Qh7jcR5kAAC4DSV,https://open.spotify.com/track/5mg3VB3Qh7jcR5kAAC4DSV,FIFTY FIFTY,0.774,0.66,2.0,-8.2,1.0,0.0328,0.662,0.0,0.4,0.961,120.023
4,7FbrGaHYVDmfr7KoLIZnQ7,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,FIFTY FIFTY,0.783,0.592,11.0,-8.332,0.0,0.0331,0.435,4.15e-06,0.347,0.726,120.018
5,5UwtK1ivT8kvtVmN8886VC,https://open.spotify.com/track/5UwtK1ivT8kvtVmN8886VC,FIFTY FIFTY,0.784,0.52,2.0,-10.438,1.0,0.0316,0.11,0.833,0.233,0.901,120.0
6,2IGMVunIBsBLtEQyoI1Mu7,https://open.spotify.com/track/2IGMVunIBsBLtEQyoI1Mu7,Doja Cat,0.868,0.538,5.0,-8.603,1.0,0.174,0.269,3.34e-06,0.0901,0.732,99.968
7,741UUVE2kuITl0c6zuqqbO,https://open.spotify.com/track/741UUVE2kuITl0c6zuqqbO,Nicki Minaj,0.77,0.58,0.0,-8.393,1.0,0.247,0.519,0.000127,0.233,0.753,144.072
8,2FDTHlrBguDzQkp7PVj16Q,https://open.spotify.com/track/2FDTHlrBguDzQkp7PVj16Q,Dave,0.916,0.583,1.0,-8.067,1.0,0.241,0.186,0.0,0.0798,0.661,141.095
9,5L3ecxQnQ9qTBmnLQiwf0C,https://open.spotify.com/track/5L3ecxQnQ9qTBmnLQiwf0C,Travis Scott,0.814,0.618,5.0,-5.614,0.0,0.0619,0.0386,3.34e-06,0.671,0.535,121.075
10,6rdkCkjk6D12xRpdMXy0I2,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2,NewJeans,0.807,0.721,4.0,-6.211,0.0,0.0508,0.51,0.00216,0.115,0.532,134.014
11,5sdQOyqq2IDhvmx2lHOpwd,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd,NewJeans,0.776,0.817,5.0,-6.018,0.0,0.0748,0.18,3.44e-05,0.146,0.515,149.921
12,5ydjxBSUIDn26MFzU3asP4,https://open.spotify.com/track/5ydjxBSUIDn26MFzU3asP4,V,0.633,0.454,9.0,-8.016,0.0,0.0875,0.739,0.0,0.148,0.282,74.828
13,2N0SPREDYqILVEFSsWF5N5,https://open.spotify.com/track/2N0SPREDYqILVEFSsWF5N5,V,0.633,0.607,0.0,-6.182,0.0,0.0532,0.183,1.38e-06,0.167,0.363,74.029
